Iteration,Index,Observed Target Value
0,163,220.57
1,148,328.21
2,94,20.03
3,92,13.55
4,229,731.11
5,122,543.75
6,178,111.8949727
7,219,545.18
8,19,634.35
9,108,659.36
10,106,618.72
11,55,17.96
12,136,293.6
13,28,5.09
14,44,7.09
15,195,179.12
16,47,9.21
17,34,8.39
18,206,268.25
19,62,7.25
20,4,16.94
21,162,217.94
22,138,302.25
23,79,52.77
24,105,607.72
25,71,16.13
26,183,162.7067112
27,18,617.92
28,153,47.22
29,167,250.28
30,65,11.49
31,99,374.29
32,181,155.3457121
33,190,390.2707837
34,81,6.31
35,220,546.79
36,213,406.47
37,103,562.06
38,161,214.21
39,24,800.58
40,152,44.1
41,86,7.96
42,124,554.41
43,177,83.28491341
44,42,49.98
45,130,203.82
46,76,28.39
47,140,259.11
48,192,424.1973941
49,204,240.44
50,101,484.36
51,66,12.36
52,114,291.41
53,119,535.99
54,202,214.93
55,205,248.62
56,104,580.44
57,127,1089.12
58,14,218.67
59,224,637.46
60,172,542.3
61,25,804.11
62,214,451.64
63,128,1243.67
