Iteration,Index,Observed Target Value
0,163,220.57
1,145,291.83
2,106,618.72
3,9,45.53
4,140,259.11
5,52,16.66
6,153,47.22
7,105,607.72
8,81,6.31
9,196,191.45
10,185,311.2965408
11,170,405.26
12,29,6.19
13,111,838.31
14,194,745.278685
15,207,289.72
16,188,339.0080085
17,115,325.56
18,110,770.35
19,126,660.0
20,109,750.9
21,191,398.5758253
22,2,14.78
23,60,63.53
24,61,6.92
25,227,695.67
26,78,39.11
27,121,540.19
28,84,7.08
29,203,226.25
30,66,12.36
31,21,725.7933279
32,209,325.42
33,135,281.68
34,12,179.53
35,45,7.84
36,72,16.51
37,27,852.33
38,182,160.6199195
39,133,215.93
40,10,45.97
41,226,658.86
42,30,6.44
43,42,49.98
44,44,7.09
45,144,286.73
46,85,7.67
47,4,16.94
48,123,552.26
49,112,904.29
50,208,297.95
51,5,24.01
52,36,11.15
53,99,374.29
54,3,16.34
55,15,411.82
56,225,654.34
57,113,226.22
58,152,44.1
59,223,636.48
60,187,322.6997586
61,156,116.5
62,216,696.39
63,89,11.38
64,169,385.2
65,146,312.65
66,77,32.04
67,79,52.77
68,47,9.21
69,103,562.06
70,172,542.3
71,73,17.57
72,38,12.19
73,13,215.37
74,173,2.740952014
75,220,546.79
76,64,11.38
77,119,535.99
78,0,12.77
79,138,302.25
80,128,1243.67
