Iteration,Index,Observed Target Value
0,53,16.69
1,55,17.96
2,177,83.28491341
3,89,11.38
4,219,545.18
5,114,291.41
6,71,16.13
7,158,142.23
8,21,725.7933279
9,170,405.26
10,38,12.19
11,204,240.44
12,31,7.2
13,144,286.73
14,200,207.58
15,29,6.19
16,116,452.8
17,95,29.81
18,175,52.47346448
19,63,10.53
20,156,116.5
21,78,39.11
22,122,543.75
23,191,398.5758253
24,105,607.72
25,80,2.44
26,104,580.44
27,10,45.97
28,65,11.49
29,137,293.93
30,164,220.66
31,222,602.48
32,20,688.74
33,223,636.48
34,155,92.38
35,213,406.47
36,117,475.46
37,103,562.06
38,127,1089.12
39,185,311.2965408
40,196,191.45
41,232,824.47
42,75,26.57
43,93,17.35
44,91,13.25
45,39,18.25
46,70,14.99
47,125,608.87
48,172,542.3
49,120,540.19
50,195,179.12
51,87,9.62
52,88,9.71
53,154,63.81
54,54,17.89
55,181,155.3457121
56,150,348.88
57,68,13.99
58,140,259.11
59,189,345.3800939
60,79,52.77
61,50,14.08
62,169,385.2
63,52,16.66
64,35,10.32
65,9,45.53
66,229,731.11
67,210,356.76
68,214,451.64
69,211,382.45
70,147,326.54
71,141,279.69
72,7,33.44
73,47,9.21
74,58,31.24
75,165,233.43
76,82,6.68
77,42,49.98
78,179,135.2652427
79,153,47.22
80,161,214.21
81,220,546.79
82,128,1243.67
