Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Yield Strength in Dataset,Stopping Reason
1,191,2411.5,1694.4541,14.805681,2510.3,Continuing
2,34,1730.2,4555220.0,818740.0,2510.3,Continuing
3,169,1250.5,19964.557,2312.5415,2510.3,Continuing
4,265,1680.6,5536.002,346.50085,2510.3,Continuing
5,283,1130.4,3785.667,297.07797,2510.3,Continuing
6,71,2501.1,2526.3079,49.19498,2510.3,Continuing
7,31,2487.3,2402.8586,41.15442,2510.3,Continuing
8,118,1603.3,2570.5369,42.382244,2510.3,Continuing
9,6,1605.4,2959.5176,73.249214,2510.3,Continuing
10,296,1681.2,2892.077,119.93303,2510.3,Continuing
11,99,2411.5,2372.168,49.210598,2510.3,Continuing
12,289,1571.2,2356.9517,49.166782,2510.3,Continuing
13,306,2510.3,2572.728,52.77262,2510.3,Max Yield Strength reached
