File,Iteration,Experiment Index,Rerank_Score_v35
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,0,215,0.040302187
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,1,246,0.7460839
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,2,119,0.7156829
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,3,142,0.70726365
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,4,193,0.6934942
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,5,21,0.75377536
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,6,77,0.69795954
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,7,146,0.70287734
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,8,188,0.7598145
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,9,158,0.7515939
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,10,19,0.7125728
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,11,33,0.6894943
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,12,279,0.7211353
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,13,285,0.7101667
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,14,291,0.65676886
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,15,296,0.680136
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,16,150,0.6682966
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,17,46,0.7460839
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,18,266,0.70750624
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,19,25,0.73023266
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,20,242,0.7382357
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,21,80,0.73868835
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,22,173,0.7272211
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,23,63,0.7144891
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,24,17,0.72814995
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,25,280,0.7418428
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,26,50,0.72605723
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,27,70,0.7309246
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,28,78,0.73846215
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,29,205,0.7265231
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,30,134,0.6654328
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,31,204,0.68420124
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,32,79,0.7132923
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,33,34,0.7208996
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,34,127,0.69820654
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,35,68,0.7190094
llm_experiment_yield_strength_trajectory_parameters_seed38_with_rerank_score.csv,36,185,0.76194656
