Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,72,189.441220061326,574.4155,122.70881,296.35081017123304,Continuing
2,17,106.8193434000782,231.93427,30.805128,296.35081017123304,Continuing
3,58,211.5086541241532,233.3391,19.884176,296.35081017123304,Continuing
4,59,219.61643412334288,221.86043,25.990229,296.35081017123304,Continuing
5,8,242.7128680778461,275.7035,54.07089,296.35081017123304,Continuing
6,9,233.7243724057668,225.65485,57.250526,296.35081017123304,Continuing
7,7,117.40631603510326,210.49532,45.939342,296.35081017123304,Continuing
8,71,270.69323356331364,300.8624,43.65467,296.35081017123304,Continuing
9,60,272.2240045816517,186.2839,29.50653,296.35081017123304,Continuing
10,57,296.35081017123304,202.5363,27.788864,296.35081017123304,Max Elastic Modulus reached
