File,Iteration,Experiment Index,Rerank_Score_v35
llm_experiment_membrane_modulus_trajectory_report_seed38_with_rerank_score.csv,0,53,0.040347535
llm_experiment_membrane_modulus_trajectory_report_seed38_with_rerank_score.csv,1,54,0.68748367
llm_experiment_membrane_modulus_trajectory_report_seed38_with_rerank_score.csv,2,55,0.5931622
llm_experiment_membrane_modulus_trajectory_report_seed38_with_rerank_score.csv,3,60,0.45217365
llm_experiment_membrane_modulus_trajectory_report_seed38_with_rerank_score.csv,4,59,0.61972505
llm_experiment_membrane_modulus_trajectory_report_seed38_with_rerank_score.csv,5,57,0.6246834
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,0,26,0.040347535
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,1,34,0.65279555
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,2,40,0.73868835
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,3,35,0.72207695
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,4,41,0.5717911
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,5,28,0.55796635
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,6,66,0.65173227
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,7,65,0.6208291
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,8,54,0.63098115
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,9,55,0.6543875
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,10,60,0.63750535
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,11,59,0.52773094
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,12,43,0.6369636
llm_experiment_membrane_modulus_trajectory_report_seed39_with_rerank_score.csv,13,57,0.5837973
llm_experiment_membrane_modulus_trajectory_report_seed40_with_rerank_score.csv,0,58,0.040347535
llm_experiment_membrane_modulus_trajectory_report_seed40_with_rerank_score.csv,1,35,0.7657514
llm_experiment_membrane_modulus_trajectory_report_seed40_with_rerank_score.csv,2,54,0.63777614
llm_experiment_membrane_modulus_trajectory_report_seed40_with_rerank_score.csv,3,59,0.75181264
llm_experiment_membrane_modulus_trajectory_report_seed40_with_rerank_score.csv,4,60,0.7004242
llm_experiment_membrane_modulus_trajectory_report_seed40_with_rerank_score.csv,5,55,0.6133529
llm_experiment_membrane_modulus_trajectory_report_seed40_with_rerank_score.csv,6,57,0.63777614
llm_experiment_membrane_modulus_trajectory_report_seed41_with_rerank_score.csv,0,48,0.040347535
llm_experiment_membrane_modulus_trajectory_report_seed41_with_rerank_score.csv,1,63,0.75268626
llm_experiment_membrane_modulus_trajectory_report_seed41_with_rerank_score.csv,2,34,0.595987
llm_experiment_membrane_modulus_trajectory_report_seed41_with_rerank_score.csv,3,66,0.5345888
llm_experiment_membrane_modulus_trajectory_report_seed41_with_rerank_score.csv,4,65,0.5683445
llm_experiment_membrane_modulus_trajectory_report_seed41_with_rerank_score.csv,5,39,0.7120925
llm_experiment_membrane_modulus_trajectory_report_seed41_with_rerank_score.csv,6,55,0.4429021
llm_experiment_membrane_modulus_trajectory_report_seed41_with_rerank_score.csv,7,54,0.6796259
