Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max Elastic Modulus in Dataset,Stopping Reason
1,72,189.441220061326,80.16196,15.555841,296.35081017123304,Continuing
2,71,270.69323356331364,271.31052,20.52334,296.35081017123304,Continuing
3,53,228.310761552046,362.68863,81.28329,296.35081017123304,Continuing
4,8,242.7128680778461,184.19788,27.26727,296.35081017123304,Continuing
5,58,211.5086541241532,235.2526,45.985817,296.35081017123304,Continuing
6,54,197.8404462303588,224.86748,52.74061,296.35081017123304,Continuing
7,9,233.7243724057668,236.25377,39.743675,296.35081017123304,Continuing
8,59,219.61643412334288,190.94295,40.57063,296.35081017123304,Continuing
9,60,272.2240045816517,194.99687,37.56431,296.35081017123304,Continuing
10,55,168.33383829683325,179.46567,31.905725,296.35081017123304,Continuing
11,57,296.35081017123304,224.69975,35.80855,296.35081017123304,Max Elastic Modulus reached
