dataset,model,alpha,seed,run_kind_warm,subset_key,warmstart_points,iters_to_best_excl_warmstart_warm,reached_best_warm,best_value_run_warm,best_value_dataset_col_warm,file_warm,run_kind_rand,iters_to_best_excl_warmstart_rand,reached_best_rand,best_value_run_rand,best_value_dataset_col_rand,file_rand
matbench_steels (composition),BNN,0.1,38,warm,matbench_steels_170__llm__m170_seed38_3f37f23ff1,170,9,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed38__warm__matbench_steels_170__llm__m170_seed38_3f37f23ff1.csv,rand,1,True,2487.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed38__rand__matbench_steels_170__llm__m170_seed38_3f37f23ff1.csv
matbench_steels (composition),BNN,0.1,38,warm,matbench_steels_54__llm_e_m54_seed38_edb32ac78e,54,32,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed38__warm__matbench_steels_54__llm_e_m54_seed38_edb32ac78e.csv,rand,13,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed38__rand__matbench_steels_54__llm_e_m54_seed38_edb32ac78e.csv
matbench_steels (composition),BNN,0.1,39,warm,matbench_steels_2__llm_ex_m2_seed39_e6b0b07450,2,17,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed39__warm__matbench_steels_2__llm_ex_m2_seed39_e6b0b07450.csv,rand,25,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed39__rand__matbench_steels_2__llm_ex_m2_seed39_e6b0b07450.csv
matbench_steels (composition),BNN,0.1,39,warm,matbench_steels_83__llm_e_m83_seed39_4d92f83792,83,10,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed39__warm__matbench_steels_83__llm_e_m83_seed39_4d92f83792.csv,rand,3,True,2501.1,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed39__rand__matbench_steels_83__llm_e_m83_seed39_4d92f83792.csv
matbench_steels (composition),BNN,0.1,40,warm,matbench_steels_158__llm__m158_seed40_2edac14743,158,8,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed40__warm__matbench_steels_158__llm__m158_seed40_2edac14743.csv,rand,14,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed40__rand__matbench_steels_158__llm__m158_seed40_2edac14743.csv
matbench_steels (composition),BNN,0.1,40,warm,matbench_steels_8__llm_ex_m8_seed40_7950a871f7,8,13,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed40__warm__matbench_steels_8__llm_ex_m8_seed40_7950a871f7.csv,rand,24,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed40__rand__matbench_steels_8__llm_ex_m8_seed40_7950a871f7.csv
matbench_steels (composition),BNN,0.1,41,warm,matbench_steels_130__llm__m130_seed41_a07a00f9f6,130,10,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed41__warm__matbench_steels_130__llm__m130_seed41_a07a00f9f6.csv,rand,10,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed41__rand__matbench_steels_130__llm__m130_seed41_a07a00f9f6.csv
matbench_steels (composition),BNN,0.1,41,warm,matbench_steels_13__llm_e_m13_seed41_26346c45ee,13,14,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed41__warm__matbench_steels_13__llm_e_m13_seed41_26346c45ee.csv,rand,11,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed41__rand__matbench_steels_13__llm_e_m13_seed41_26346c45ee.csv
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_110__llm__m110_seed42_6a93007538,110,17,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_110__llm__m110_seed42_6a93007538.csv,rand,12,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_110__llm__m110_seed42_6a93007538.csv
matbench_steels (composition),BNN,0.1,42,warm,matbench_steels_119__llm__m119_seed42_1940f9b50b,119,16,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_warmstart_from_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__warm__matbench_steels_119__llm__m119_seed42_1940f9b50b.csv,rand,8,True,2510.3,2510.3,al_trajectory_data_all\matbench_steels (composition)\ML_random_matched_to_LLMsubsets\BNN__matbench_steels (composition)__a0p1__seed42__rand__matbench_steels_119__llm__m119_seed42_1940f9b50b.csv
