Iteration,Index,Observed Target Value
0,28,57484.0
1,128,258154.0
2,117,38370.0
3,138,1755056.0
4,9,914156.0
5,133,541686.0
6,16,128971.0
7,113,59211.0
8,101,239057.0
9,50,199330.0
10,110,794499.0
11,1,505657.0
12,132,503950.0
13,102,129483.0
14,56,133495.0
15,64,269180.0
16,97,206695.0
17,115,98439.0
18,32,207474.0
19,18,1155542.0
20,125,88158.0
21,21,1167261.0
22,68,180293.0
23,129,316310.0
24,37,342685.0
25,77,476197.0
26,53,374938.0
27,40,343647.0
28,31,316345.0
29,119,119938.0
30,51,293210.0
31,33,132665.0
32,91,225170.0
33,79,548909.0
34,136,1413800.0
35,57,237318.0
36,52,456484.0
37,121,107908.0
38,114,80413.0
39,2,144074.0
40,62,40621.0
41,123,292981.0
42,66,284939.0
43,14,925193.0
44,88,132641.0
45,60,38893.0
46,105,141683.0
47,61,449878.0
48,120,91655.0
49,122,168856.0
50,116,26197.0
51,87,183180.0
52,67,227835.0
53,35,302631.0
54,73,96638.0
55,41,370439.0
56,39,98773.0
57,4,416657.0
58,42,482218.0
59,99,192477.0
60,93,211852.0
61,17,1103450.0
62,43,228347.0
63,100,175885.0
64,94,136004.0
65,48,404845.0
66,107,701140.0
67,82,252642.0
68,89,120257.0
69,103,145224.0
70,86,91681.0
71,95,163985.0
72,75,59256.0
73,85,27122.0
74,83,1497320.0
75,126,93928.0
76,106,437082.0
77,130,319618.0
78,24,1300295.0
79,74,140574.0
80,47,416405.0
81,80,438903.0
82,81,489801.0
83,38,224858.0
84,137,1583406.0
85,10,981850.0
86,96,383479.0
87,15,102012.0
88,69,252077.0
89,59,123157.0
90,5,253423.0
91,34,287734.0
92,124,55524.0
93,45,481313.0
94,46,482674.0
95,12,602576.0
96,49,234879.0
97,11,284710.0
98,13,714735.0
99,108,719564.0
100,131,422140.0
101,127,184086.0
102,19,446747.0
103,112,23707.0
