Iteration,Index,Observed Target Value
0,117,38370.0
1,113,59211.0
2,98,147202.0
3,43,228347.0
4,35,302631.0
5,53,374938.0
6,88,132641.0
7,104,208028.0
8,0,480185.0
9,3,239852.0
10,126,93928.0
11,83,1497320.0
12,56,133495.0
13,17,1103450.0
14,111,375241.0
15,130,319618.0
16,13,714735.0
17,47,416405.0
18,102,129483.0
19,31,316345.0
20,119,119938.0
21,27,1274993.0
22,23,1281399.0
23,109,452558.0
24,127,184086.0
25,85,27122.0
26,69,252077.0
27,92,261756.0
28,125,88158.0
29,5,253423.0
30,84,24723.0
31,81,489801.0
32,16,128971.0
33,110,794499.0
34,61,449878.0
35,10,981850.0
36,44,299002.0
37,48,404845.0
38,138,1755056.0
39,57,237318.0
40,128,258154.0
41,131,422140.0
42,45,481313.0
43,76,272660.0
44,123,292981.0
45,67,227835.0
46,124,55524.0
47,49,234879.0
48,103,145224.0
49,28,57484.0
50,46,482674.0
51,121,107908.0
52,71,87667.0
53,73,96638.0
54,9,914156.0
55,51,293210.0
56,2,144074.0
57,4,416657.0
58,15,102012.0
59,50,199330.0
60,63,300244.0
61,64,269180.0
62,34,287734.0
63,54,376516.0
64,36,190636.0
65,68,180293.0
66,99,192477.0
67,60,38893.0
68,105,141683.0
69,122,168856.0
70,78,127394.0
71,30,209698.0
72,24,1300295.0
73,114,80413.0
74,38,224858.0
75,91,225170.0
76,11,284710.0
77,1,505657.0
78,80,438903.0
79,116,26197.0
80,86,91681.0
81,74,140574.0
82,21,1167261.0
83,137,1583406.0
84,118,107494.0
85,55,463506.0
86,136,1413800.0
87,26,1267615.0
88,75,59256.0
89,97,206695.0
90,59,123157.0
91,37,342685.0
92,132,503950.0
93,95,163985.0
94,107,701140.0
95,20,533060.0
96,39,98773.0
97,19,446747.0
98,94,136004.0
99,29,286689.0
100,42,482218.0
101,96,383479.0
102,93,211852.0
103,115,98439.0
104,120,91655.0
105,134,593083.0
106,12,602576.0
107,66,284939.0
108,106,437082.0
109,87,183180.0
110,65,349707.0
111,100,175885.0
112,18,1155542.0
113,41,370439.0
114,133,541686.0
115,14,925193.0
116,40,343647.0
117,77,476197.0
118,101,239057.0
119,22,1182236.0
120,6,273687.0
121,108,719564.0
122,58,221696.0
123,90,318600.0
124,79,548909.0
125,25,876981.0
126,82,252642.0
127,129,316310.0
128,33,132665.0
129,7,144556.0
130,112,23707.0
