Iteration,Index,Observed Target Value
0,107,701140.0
1,91,225170.0
2,7,144556.0
3,25,876981.0
4,130,319618.0
5,41,370439.0
6,19,446747.0
7,35,302631.0
8,109,452558.0
9,27,1274993.0
10,40,343647.0
11,63,300244.0
12,105,141683.0
13,71,87667.0
14,104,208028.0
15,137,1583406.0
16,5,253423.0
17,121,107908.0
18,65,349707.0
19,29,286689.0
20,44,299002.0
21,6,273687.0
22,17,1103450.0
23,72,339668.0
24,52,456484.0
25,96,383479.0
26,49,234879.0
27,123,292981.0
28,103,145224.0
29,76,272660.0
30,129,316310.0
31,102,129483.0
32,21,1167261.0
33,57,237318.0
34,12,602576.0
35,94,136004.0
36,98,147202.0
37,101,239057.0
38,134,593083.0
39,127,184086.0
40,0,480185.0
41,108,719564.0
42,34,287734.0
43,59,123157.0
44,111,375241.0
45,70,286563.0
46,120,91655.0
47,4,416657.0
48,126,93928.0
49,118,107494.0
50,131,422140.0
51,9,914156.0
52,24,1300295.0
53,133,541686.0
54,2,144074.0
55,89,120257.0
56,125,88158.0
57,82,252642.0
58,61,449878.0
59,56,133495.0
60,84,24723.0
61,77,476197.0
62,75,59256.0
63,85,27122.0
64,69,252077.0
65,8,351227.0
66,46,482674.0
67,73,96638.0
68,54,376516.0
69,99,192477.0
70,100,175885.0
71,38,224858.0
72,138,1755056.0
73,66,284939.0
74,30,209698.0
75,116,26197.0
76,106,437082.0
77,20,533060.0
78,80,438903.0
79,112,23707.0
