Iteration,Index,Observed Target Value
0,97,206695.0
1,30,209698.0
2,128,258154.0
3,132,503950.0
4,24,1300295.0
5,125,88158.0
6,61,449878.0
7,49,234879.0
8,105,141683.0
9,78,127394.0
10,82,252642.0
11,137,1583406.0
12,114,80413.0
13,110,794499.0
14,39,98773.0
15,86,91681.0
16,103,145224.0
17,121,107908.0
18,67,227835.0
19,102,129483.0
20,69,252077.0
21,95,163985.0
22,31,316345.0
23,81,489801.0
24,62,40621.0
25,37,342685.0
26,68,180293.0
27,44,299002.0
28,127,184086.0
29,134,593083.0
30,84,24723.0
31,25,876981.0
32,89,120257.0
33,57,237318.0
34,120,91655.0
35,107,701140.0
36,14,925193.0
37,96,383479.0
38,47,416405.0
39,48,404845.0
40,33,132665.0
41,80,438903.0
42,5,253423.0
43,66,284939.0
44,26,1267615.0
45,64,269180.0
46,53,374938.0
47,136,1413800.0
48,91,225170.0
49,43,228347.0
50,104,208028.0
51,133,541686.0
52,45,481313.0
53,112,23707.0
