File,Iteration,Experiment Index,Rerank_Score_v35
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,0,163,0.040347535
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,1,162,0.78963995
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,2,202,0.767638
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,3,171,0.7520312
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,4,212,0.72814995
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,5,134,0.7272211
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,6,148,0.7293082
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,7,144,0.7413937
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,8,135,0.7476348
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,9,170,0.7309246
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,10,191,0.72278196
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,11,192,0.7570233
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,12,209,0.74363416
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,13,208,0.70067
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,14,211,0.70336664
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,15,213,0.70726365
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,16,41,0.69795954
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,17,40,0.6633424
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,18,223,0.73981786
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,19,224,0.7409441
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,20,230,0.8021998
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,21,228,0.7251239
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,22,222,0.7493996
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,23,105,0.7128128
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,24,153,0.6877354
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,25,169,0.7206637
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,26,109,0.7192461
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,27,100,0.73755574
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,28,124,0.7728226
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,29,219,0.6824261
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,30,108,0.7152057
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,31,104,0.8036831
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,32,229,0.7463059
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,33,116,0.80844593
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,34,126,0.79041743
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,35,123,0.80442166
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,36,231,0.8055255
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,37,114,0.8033131
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,38,127,0.7555112
llm_experiment_p3ht_conductivity_trajectory_parameters_seed38_with_rerank_score.csv,39,34,0.71113056
