Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max -Instability index in Dataset,Stopping Reason
1,0,-480185,-375087.12,2764.1467,-23707,Continuing
2,26,-1267615,-246272.36,20763.768,-23707,Continuing
3,7,-144556,-241128.27,7126.1147,-23707,Continuing
4,8,-351227,-148783.36,5543.0435,-23707,Continuing
5,65,-349707,-256355.47,3262.4934,-23707,Continuing
6,42,-482218,-356462.1,3324.806,-23707,Continuing
7,54,-376516,-381966.72,2309.9343,-23707,Continuing
8,55,-463506,-378371.12,2090.108,-23707,Continuing
9,51,-293210,-387216.06,2555.6804,-23707,Continuing
10,52,-456484,-352780.56,2163.0251,-23707,Continuing
11,50,-199330,-397809.4,2398.2463,-23707,Continuing
12,79,-548909,-324776.22,1458.5062,-23707,Continuing
13,80,-438903,-287399.1,1476.575,-23707,Continuing
14,48,-404845,-364624.84,5447.3105,-23707,Continuing
15,41,-370439,-415640.3,4074.475,-23707,Continuing
16,49,-234879,-372183.5,3826.6594,-23707,Continuing
17,120,-91655,-385366.16,3431.9902,-23707,Continuing
18,100,-175885,-194644.48,9697.985,-23707,Continuing
19,121,-107908,-153503.7,13766.512,-23707,Continuing
20,122,-168856,-116146.125,8677.972,-23707,Continuing
21,123,-292981,-121735.33,6975.556,-23707,Continuing
22,102,-129483,-176105.53,6390.694,-23707,Continuing
23,103,-145224,-174938.94,5690.5938,-23707,Continuing
24,74,-140574,-194516.14,7361.618,-23707,Continuing
25,75,-59256,-152691.97,5141.418,-23707,Continuing
26,124,-55524,-92374.23,4797.442,-23707,Continuing
27,125,-88158,-75298.03,4537.2153,-23707,Continuing
28,126,-93928,-82943.41,4170.4316,-23707,Continuing
29,127,-184086,-86086.87,3634.0657,-23707,Continuing
30,101,-239057,-97761.04,3382.3625,-23707,Continuing
31,73,-96638,-151504.67,2861.713,-23707,Continuing
32,128,-258154,-193971.1,5951.152,-23707,Continuing
33,76,-272660,-247420.19,6176.618,-23707,Continuing
34,129,-316310,-253865.95,5730.239,-23707,Continuing
35,130,-319618,-283396.1,3433.4895,-23707,Continuing
36,131,-422140,-300491.4,3139.709,-23707,Continuing
37,98,-147202,-303231.4,2115.6855,-23707,Continuing
38,95,-163985,-233563.08,5066.757,-23707,Continuing
39,61,-449878,-235437.08,7381.8633,-23707,Continuing
40,36,-190636,-318027.2,3977.3506,-23707,Continuing
41,37,-342685,-203733.28,2174.368,-23707,Continuing
42,116,-26197,-340168.06,5507.5303,-23707,Continuing
43,117,-38370,-116787.76,1675.2826,-23707,Continuing
44,118,-107494,-78162.26,1220.5935,-23707,Continuing
45,119,-119938,-79452.945,1096.6189,-23707,Continuing
46,71,-87667,-265221.22,6065.2793,-23707,Continuing
47,39,-98773,-112771.91,3663.2117,-23707,Continuing
48,66,-284939,-266175.03,6660.9307,-23707,Continuing
49,67,-227835,-277052.94,6302.9746,-23707,Continuing
50,72,-339668,-308465.66,6303.3555,-23707,Continuing
51,94,-136004,-351752.28,2623.1204,-23707,Continuing
52,57,-237318,-372450.22,4717.5044,-23707,Continuing
53,56,-133495,-264434.44,3762.9558,-23707,Continuing
54,113,-59211,-290231.47,3602.3677,-23707,Continuing
55,84,-24723,-203641.53,4080.2844,-23707,Continuing
56,112,-23707,-99846.46,13582.68,-23707,Max -Instability index reached
