Iteration,Index,Observed Target Value,Predicted Target Value,Uncertainty,Max -Instability index in Dataset,Stopping Reason
1,0,-480185,-38309.56,188.0981,-23707,Continuing
2,26,-1267615,-341.43024,52.97836,-23707,Continuing
3,108,-719564,-108.61469,0.58957195,-23707,Continuing
4,77,-476197,-9.453722,1.2682797,-23707,Continuing
5,61,-449878,-0.8337902,0.7403055,-23707,Continuing
6,3,-239852,-197969.53,6636.7407,-23707,Continuing
7,116,-26197,-54270.242,8391.509,-23707,Continuing
8,66,-284939,-32177.424,5036.9663,-23707,Continuing
9,91,-225170,-31536.84,6027.998,-23707,Continuing
10,100,-175885,-40188.594,2765.4739,-23707,Continuing
11,118,-107494,-39421.566,4672.401,-23707,Continuing
12,119,-119938,-58717.92,2423.4783,-23707,Continuing
13,73,-96638,-75383.21,4963.0923,-23707,Continuing
14,71,-87667,-82982.91,5479.9673,-23707,Continuing
15,38,-224858,-99598.59,8017.4136,-23707,Continuing
16,57,-237318,-81652.61,3937.8647,-23707,Continuing
17,112,-23707,-95223.35,7973.7183,-23707,Max -Instability index reached
