Iteration,Index,Observed Target Value
0,14,39.58562154046682
1,52,231.07458974395303
2,19,56.88500845389184
3,56,175.8319549576918
4,30,42.124759091300646
5,7,117.40631603510326
6,31,119.79704241922371
7,17,106.8193434000782
8,21,50.104313602035774
9,48,171.00469374345903
10,58,211.5086541241532
11,16,28.08588319590436
12,64,95.81586876001889
13,70,172.0732296612731
14,50,174.66437205644556
15,44,159.30709474405634
16,43,178.97379271834268
17,47,188.5569729101656
18,34,88.47667256854467
19,66,64.29918271351211
20,40,162.77817832797786
21,51,181.925661105008
22,2,66.30151481091211
23,65,90.99870959544364
24,72,189.441220061326
25,41,220.5104016857166
26,49,242.91509227554656
27,24,98.05789122606568
28,57,296.35081017123304
