Iteration,Index,Observed Target Value
0,26,42.736240369816734
1,58,211.5086541241532
2,8,242.7128680778461
3,71,270.69323356331364
4,21,50.104313602035774
5,59,219.61643412334288
6,36,120.1628705347832
7,70,172.0732296612731
8,41,220.5104016857166
9,54,197.8404462303588
10,48,171.00469374345903
11,60,272.2240045816517
12,14,39.58562154046682
13,68,65.48719407925006
14,32,106.70108583654164
15,27,141.45379911190125
16,7,117.40631603510326
17,43,178.97379271834268
18,40,162.77817832797786
19,5,95.3466236160471
20,35,207.09310351510177
21,13,35.102261317001975
22,39,140.76871335709305
23,42,179.2410423946837
24,15,48.22854697312115
25,62,277.3861208337041
26,45,224.5706110108938
27,72,189.441220061326
28,9,233.7243724057668
29,63,228.4671903908735
30,10,95.58773206251
31,47,188.5569729101656
32,69,110.69482106635698
33,31,119.79704241922371
34,12,51.16844398555743
35,2,66.30151481091211
36,61,201.80400290446065
37,20,45.87195384392433
38,37,152.72295816440803
39,16,28.08588319590436
40,49,242.91509227554656
41,30,42.124759091300646
42,56,175.8319549576918
43,17,106.8193434000782
44,19,56.88500845389184
45,38,182.9546167355371
46,65,90.99870959544364
47,25,39.13465426900338
48,52,231.07458974395303
49,67,55.10215022969636
50,22,73.67122147772203
51,28,147.00005295683096
52,6,204.17680289774336
53,66,64.29918271351211
54,23,53.46447392343188
55,4,109.60733027971378
56,55,168.33383829683325
57,57,296.35081017123304
