Iteration,Index,Observed Target Value
0,48,171.00469374345903
1,40,162.77817832797786
2,62,277.3861208337041
3,25,39.13465426900338
4,24,98.05789122606568
5,56,175.8319549576918
6,51,181.925661105008
7,32,106.70108583654164
8,70,172.0732296612731
9,14,39.58562154046682
10,17,106.8193434000782
11,34,88.47667256854467
12,60,272.2240045816517
13,15,48.22854697312115
14,71,270.69323356331364
15,26,42.736240369816734
16,22,73.67122147772203
17,45,224.5706110108938
18,64,95.81586876001889
19,53,228.310761552046
20,12,51.16844398555743
21,33,72.06868568538891
22,68,65.48719407925006
23,63,228.4671903908735
24,5,95.3466236160471
25,43,178.97379271834268
26,52,231.07458974395303
27,0,81.74085575257114
28,19,56.88500845389184
29,57,296.35081017123304
