Iteration,Index,Observed Target Value
0,57,1235.9
1,266,1667.4
2,10,1218.4
3,159,2356.4
4,19,1723.2
5,308,1258.6
6,285,1812.1
7,133,1312.0
8,250,1322.9
9,210,1580.0
10,272,1555.8
11,37,1412.5
12,202,1026.6
13,267,1352.2
14,204,2005.5
15,135,1354.2
16,190,1243.6
17,241,1218.8
18,206,2331.1
19,261,1287.3
20,237,1350.4
21,1,1502.0
22,229,1311.4
23,169,1250.5
24,290,1005.9
25,38,1426.2
26,295,1276.7
27,307,1344.0
28,239,1144.8
29,107,1309.1
30,289,1571.2
31,269,1368.5
32,5,1164.4
33,249,1460.7
34,248,1155.0
35,276,1629.9
36,282,1143.7
37,304,1302.8
38,185,1998.6
39,48,1451.7
40,134,1282.2
41,198,1061.1
42,11,1232.0
43,233,1088.6
44,108,1164.4
45,281,1338.0
46,34,1730.2
47,106,2381.6
48,104,1032.1
49,205,1730.2
50,222,1792.1
51,123,1729.4
52,60,1340.8
53,171,1837.9
54,220,1373.9
55,6,1605.4
56,105,1358.2
57,219,1804.2
58,292,2372.4
59,287,1615.8
60,46,1798.3
61,286,1297.5
62,87,1393.5
63,26,1236.6
64,203,1688.1
65,154,1123.1
66,55,1463.0
67,121,1795.5
68,183,1502.0
69,24,1383.7
70,279,1805.2
71,73,2381.6
72,101,1219.7
73,310,1390.4
74,75,1471.1
75,74,1312.6
76,178,1460.7
77,116,1010.8
78,158,1688.1
79,235,1419.4
80,271,1061.7
81,30,1194.0
82,66,1157.5
83,90,1185.1
84,42,1350.3
85,140,1521.3
86,174,1287.4
87,114,1269.0
88,7,1306.9
89,209,1309.8
90,9,1155.0
91,228,1240.2
92,100,1047.3
93,147,1736.3
94,242,1305.4
95,124,1600.0
96,245,1298.8
97,167,1731.7
98,238,1188.5
99,218,1169.2
100,145,1285.0
101,31,2487.3
102,300,1164.4
103,58,1276.5
104,67,1438.6
105,188,1681.2
106,278,1743.5
107,225,1088.6
108,86,1453.8
109,258,1224.7
110,148,1237.0
111,92,1280.7
112,25,1005.9
113,89,1021.0
114,252,1730.2
115,97,1420.0
116,231,1547.3
117,152,1163.0
118,208,1153.4
119,78,1580.1
120,160,1309.1
121,244,1081.1
122,33,1819.0
123,132,1478.4
124,71,2501.1
125,122,1028.7
126,61,1405.6
127,85,1175.4
128,155,1344.4
129,32,1226.4
130,17,1188.6
131,125,1272.6
132,21,1860.3
133,20,1536.5
134,223,1412.5
135,221,1506.8
136,62,1130.0
137,79,1641.2
138,189,1818.0
139,162,1258.2
140,4,1322.1
141,309,1212.0
142,83,1096.5
143,157,1779.7
144,170,1274.7
145,139,1350.4
146,234,1212.6
147,96,1233.3
148,181,1801.8
149,50,1371.4
150,247,1036.9
151,77,1653.6
152,27,1825.8
153,130,1109.3
154,45,1716.3
155,129,1173.8
156,257,1287.4
157,0,1167.2
158,255,1280.2
159,179,1205.8
160,298,1040.4
161,76,1669.3
162,182,1150.6
163,88,1294.9
164,253,1414.5
165,196,1150.6
166,29,1254.0
167,2,1382.2
168,142,1340.1
169,65,1362.9
170,273,2402.3
171,296,1681.2
172,226,1646.7
173,232,1515.8
174,265,1680.6
175,213,1405.6
176,153,1194.0
177,109,1437.3
178,243,1194.0
179,260,1599.4
180,161,1167.2
181,39,1071.4
182,28,1230.6
183,311,1376.7
184,263,1123.1
185,127,1737.2
186,131,1391.2
187,200,1133.4
188,227,1874.6
189,93,1755.2
190,291,1577.8
191,193,1784.5
192,110,1241.0
193,150,1846.5
194,192,1674.6
195,201,1586.7
196,138,1525.0
197,144,1117.3
198,191,2411.5
199,270,1300.3
200,264,1288.4
201,68,2006.0
202,36,1245.4
203,118,1603.3
204,165,1250.8
205,293,1123.1
206,128,1172.0
207,168,1258.8
208,212,2249.6
209,224,1792.2
210,275,1392.4
211,146,1722.5
212,54,1429.7
213,301,1359.7
214,246,1564.0
215,103,1314.2
216,81,1280.8
217,207,1019.0
218,8,1683.0
219,211,1243.0
220,59,1145.8
221,14,1564.0
222,199,1369.5
223,197,1348.9
224,216,1371.1
225,84,1278.2
226,176,1026.6
227,56,1357.9
228,256,1016.4
229,274,1486.2
230,164,1282.2
231,70,1087.0
232,98,1243.4
233,119,1736.3
234,251,1369.5
235,63,1423.8
236,187,1870.6
237,137,1308.0
238,43,1026.6
239,254,1324.3
240,156,1550.3
241,18,1592.9
242,166,1091.4
243,284,1348.6
244,240,1267.1
245,180,1182.0
246,69,1131.9
247,172,1164.4
248,53,1372.9
249,91,1136.8
250,95,1277.7
251,41,1169.4
252,94,1376.3
253,214,1529.6
254,163,1383.5
255,262,1309.1
256,283,1130.4
257,277,1172.0
258,51,1462.7
259,297,1404.2
260,268,1263.6
261,149,1304.3
262,117,1810.0
263,23,1207.8
264,35,1357.3
265,99,2411.5
266,186,1741.8
267,151,1109.3
268,40,2157.3
269,194,1233.3
270,64,1661.2
271,236,1019.7
272,22,1267.8
273,136,1199.0
274,177,1503.4
275,184,1012.8
276,49,1550.3
277,195,1296.0
278,299,1777.6
279,306,2510.3
