Iteration,Index,Observed Target Value
0,234,1212.6
1,167,1731.7
2,292,2372.4
3,287,1615.8
4,191,2411.5
5,73,2381.6
6,12,1455.4
7,59,1145.8
8,145,1285.0
9,115,1536.5
10,309,1212.0
11,277,1172.0
12,278,1743.5
13,183,1502.0
14,217,1178.9
15,53,1372.9
16,294,1390.4
17,96,1233.3
18,81,1280.8
19,22,1267.8
20,68,2006.0
21,255,1280.2
22,224,1792.2
23,193,1784.5
24,148,1237.0
25,99,2411.5
26,140,1521.3
27,113,1405.6
28,13,1299.8
29,67,1438.6
30,52,1332.7
31,101,1219.7
32,285,1812.1
33,181,1801.8
34,156,1550.3
35,88,1294.9
36,275,1392.4
37,195,1296.0
38,126,1391.8
39,19,1723.2
40,196,1150.6
41,229,1311.4
42,220,1373.9
43,266,1667.4
44,118,1603.3
45,152,1163.0
46,35,1357.3
47,70,1087.0
48,39,1071.4
49,2,1382.2
50,186,1741.8
51,249,1460.7
52,235,1419.4
53,127,1737.2
54,293,1123.1
55,36,1245.4
56,108,1164.4
57,228,1240.2
58,283,1130.4
59,34,1730.2
60,258,1224.7
61,298,1040.4
62,176,1026.6
63,137,1308.0
64,296,1681.2
65,37,1412.5
66,250,1322.9
67,304,1302.8
68,11,1232.0
69,62,1130.0
70,157,1779.7
71,151,1109.3
72,219,1804.2
73,173,1522.7
74,243,1194.0
75,21,1860.3
76,239,1144.8
77,241,1218.8
78,247,1036.9
79,85,1175.4
80,192,1674.6
81,264,1288.4
82,289,1571.2
83,260,1599.4
84,211,1243.0
85,245,1298.8
86,94,1376.3
87,15,1136.9
88,179,1205.8
89,95,1277.7
90,20,1536.5
91,273,2402.3
92,0,1167.2
93,1,1502.0
94,130,1109.3
95,26,1236.6
96,69,1131.9
97,139,1350.4
98,311,1376.7
99,256,1016.4
100,18,1592.9
101,89,1021.0
102,170,1274.7
103,46,1798.3
104,55,1463.0
105,284,1348.6
106,3,1341.7
107,308,1258.6
108,169,1250.5
109,302,1311.1
110,175,1074.9
111,162,1258.2
112,111,1274.7
113,71,2501.1
114,303,1221.6
115,212,2249.6
116,174,1287.4
117,76,1669.3
118,124,1600.0
119,29,1254.0
120,291,1577.8
121,153,1194.0
122,117,1810.0
123,33,1819.0
124,199,1369.5
125,261,1287.3
126,119,1736.3
127,142,1340.1
128,24,1383.7
129,165,1250.8
130,177,1503.4
131,75,1471.1
132,205,1730.2
133,213,1405.6
134,259,1463.3
135,306,2510.3
