Iteration,Index,Observed Target Value
0,107,1309.1
1,109,1437.3
2,265,1680.6
3,250,1322.9
4,159,2356.4
5,284,1348.6
6,173,1522.7
7,28,1230.6
8,59,1145.8
9,276,1629.9
10,176,1026.6
11,127,1737.2
12,11,1232.0
13,62,1130.0
14,46,1798.3
15,3,1341.7
16,187,1870.6
17,103,1314.2
18,186,1741.8
19,182,1150.6
20,238,1188.5
21,93,1755.2
22,146,1722.5
23,102,1575.5
24,67,1438.6
25,116,1010.8
26,155,1344.4
27,291,1577.8
28,110,1241.0
29,175,1074.9
30,258,1224.7
31,189,1818.0
32,230,1475.8
33,260,1599.4
34,124,1600.0
35,207,1019.0
36,252,1730.2
37,141,1273.3
38,40,2157.3
39,212,2249.6
40,197,1348.9
41,208,1153.4
42,77,1653.6
43,280,1730.2
44,108,1164.4
45,5,1164.4
46,264,1288.4
47,251,1369.5
48,253,1414.5
49,35,1357.3
50,170,1274.7
51,42,1350.3
52,70,1087.0
53,140,1521.3
54,64,1661.2
55,85,1175.4
56,162,1258.2
57,111,1274.7
58,254,1324.3
59,240,1267.1
60,66,1157.5
61,193,1784.5
62,164,1282.2
63,89,1021.0
64,125,1272.6
65,267,1352.2
66,144,1117.3
67,1,1502.0
68,299,1777.6
69,226,1646.7
70,63,1423.8
71,101,1219.7
72,100,1047.3
73,174,1287.4
74,57,1235.9
75,233,1088.6
76,305,1139.7
77,112,1471.0
78,177,1503.4
79,78,1580.1
80,136,1199.0
81,20,1536.5
82,172,1164.4
83,277,1172.0
84,142,1340.1
85,192,1674.6
86,282,1143.7
87,76,1669.3
88,268,1263.6
89,256,1016.4
90,106,2381.6
91,272,1555.8
92,213,1405.6
93,283,1130.4
94,195,1296.0
95,234,1212.6
96,194,1233.3
97,79,1641.2
98,297,1404.2
99,80,1125.0
100,25,1005.9
101,44,1474.4
102,9,1155.0
103,211,1243.0
104,18,1592.9
105,120,1275.3
106,244,1081.1
107,65,1362.9
108,278,1743.5
109,169,1250.5
110,122,1028.7
111,300,1164.4
112,292,2372.4
113,39,1071.4
114,202,1026.6
115,181,1801.8
116,149,1304.3
117,41,1169.4
118,83,1096.5
119,274,1486.2
120,235,1419.4
121,262,1309.1
122,104,1032.1
123,157,1779.7
124,225,1088.6
125,72,1317.0
126,98,1243.4
127,310,1390.4
128,21,1860.3
129,270,1300.3
130,271,1061.7
131,306,2510.3
