Iteration,Index,Observed Target Value
0,215,1688.1
1,152,1163.0
2,263,1123.1
3,133,1312.0
4,25,1005.9
5,268,1263.6
6,84,1278.2
7,196,1150.6
8,258,1224.7
9,301,1359.7
10,174,1287.4
11,273,2402.3
12,142,1340.1
13,124,1600.0
14,171,1837.9
15,226,1646.7
16,255,1280.2
17,260,1599.4
18,195,1296.0
19,68,2006.0
20,70,1087.0
21,276,1629.9
22,177,1503.4
23,100,1047.3
24,130,1109.3
25,78,1580.1
26,92,1280.7
27,202,1026.6
28,305,1139.7
29,232,1515.8
30,257,1287.4
31,36,1245.4
32,180,1182.0
33,290,1005.9
34,28,1230.6
35,89,1021.0
36,48,1451.7
37,207,1019.0
38,256,1016.4
39,144,1117.3
40,119,1736.3
41,123,1729.4
42,75,1471.1
43,183,1502.0
44,106,2381.6
45,239,1144.8
46,95,1277.7
47,193,1784.5
48,219,1804.2
49,3,1341.7
50,154,1123.1
51,110,1241.0
52,86,1453.8
53,105,1358.2
54,295,1276.7
55,26,1236.6
56,59,1145.8
57,146,1722.5
58,245,1298.8
59,169,1250.5
60,288,1768.0
61,161,1167.2
62,2,1382.2
63,221,1506.8
64,213,1405.6
65,162,1258.2
66,63,1423.8
67,18,1592.9
68,186,1741.8
69,131,1391.2
70,42,1350.3
71,116,1010.8
72,31,2487.3
73,300,1164.4
74,4,1322.1
75,0,1167.2
76,38,1426.2
77,179,1205.8
78,20,1536.5
79,254,1324.3
80,197,1348.9
81,278,1743.5
82,269,1368.5
83,148,1237.0
84,274,1486.2
85,230,1475.8
86,218,1169.2
87,279,1805.2
88,29,1254.0
89,111,1274.7
90,172,1164.4
91,309,1212.0
92,80,1125.0
93,200,1133.4
94,156,1550.3
95,297,1404.2
96,46,1798.3
97,94,1376.3
98,101,1219.7
99,23,1207.8
100,143,1216.8
101,210,1580.0
102,281,1338.0
103,125,1272.6
104,272,1555.8
105,229,1311.4
106,140,1521.3
107,206,2331.1
108,15,1136.9
109,158,1688.1
110,97,1420.0
111,286,1297.5
112,211,1243.0
113,159,2356.4
114,32,1226.4
115,262,1309.1
116,49,1550.3
117,199,1369.5
118,163,1383.5
119,209,1309.8
120,241,1218.8
121,208,1153.4
122,115,1536.5
123,85,1175.4
124,13,1299.8
125,99,2411.5
126,249,1460.7
127,151,1109.3
128,198,1061.1
129,39,1071.4
130,155,1344.4
131,69,1131.9
132,90,1185.1
133,57,1235.9
134,51,1462.7
135,277,1172.0
136,121,1795.5
137,102,1575.5
138,129,1173.8
139,14,1564.0
140,117,1810.0
141,108,1164.4
142,282,1143.7
143,280,1730.2
144,30,1194.0
145,45,1716.3
146,242,1305.4
147,79,1641.2
148,54,1429.7
149,62,1130.0
150,265,1680.6
151,184,1012.8
152,294,1390.4
153,71,2501.1
154,82,1746.6
155,266,1667.4
156,27,1825.8
157,234,1212.6
158,103,1314.2
159,55,1463.0
160,185,1998.6
161,81,1280.8
162,112,1471.0
163,120,1275.3
164,160,1309.1
165,166,1091.4
166,284,1348.6
167,104,1032.1
168,267,1352.2
169,164,1282.2
170,73,2381.6
171,98,1243.4
172,298,1040.4
173,250,1322.9
174,137,1308.0
175,19,1723.2
176,141,1273.3
177,307,1344.0
178,24,1383.7
179,10,1218.4
180,237,1350.4
181,246,1564.0
182,181,1801.8
183,76,1669.3
184,261,1287.3
185,287,1615.8
186,47,1228.9
187,107,1309.1
188,34,1730.2
189,66,1157.5
190,291,1577.8
191,53,1372.9
192,170,1274.7
193,139,1350.4
194,178,1460.7
195,118,1603.3
196,21,1860.3
197,6,1605.4
198,296,1681.2
199,165,1250.8
200,64,1661.2
201,302,1311.1
202,304,1302.8
203,8,1683.0
204,50,1371.4
205,67,1438.6
206,308,1258.6
207,283,1130.4
208,173,1522.7
209,293,1123.1
210,192,1674.6
211,132,1478.4
212,35,1357.3
213,228,1240.2
214,247,1036.9
215,1,1502.0
216,204,2005.5
217,225,1088.6
218,138,1525.0
219,11,1232.0
220,248,1155.0
221,153,1194.0
222,41,1169.4
223,16,1328.3
224,299,1777.6
225,113,1405.6
226,175,1074.9
227,252,1730.2
228,96,1233.3
229,56,1357.9
230,9,1155.0
231,149,1304.3
232,223,1412.5
233,88,1294.9
234,145,1285.0
235,188,1681.2
236,227,1874.6
237,212,2249.6
238,134,1282.2
239,285,1812.1
240,236,1019.7
241,253,1414.5
242,17,1188.6
243,216,1371.1
244,289,1571.2
245,203,1688.1
246,61,1405.6
247,240,1267.1
248,231,1547.3
249,109,1437.3
250,217,1178.9
251,311,1376.7
252,37,1412.5
253,7,1306.9
254,189,1818.0
255,77,1653.6
256,127,1737.2
257,122,1028.7
258,40,2157.3
259,190,1243.6
260,83,1096.5
261,264,1288.4
262,222,1792.1
263,91,1136.8
264,135,1354.2
265,147,1736.3
266,292,2372.4
267,214,1529.6
268,233,1088.6
269,182,1150.6
270,93,1755.2
271,150,1846.5
272,201,1586.7
273,60,1340.8
274,44,1474.4
275,235,1419.4
276,65,1362.9
277,58,1276.5
278,128,1172.0
279,310,1390.4
280,244,1081.1
281,74,1312.6
282,12,1455.4
283,259,1463.3
284,275,1392.4
285,306,2510.3
