Iteration,Index,Observed Target Value
0,195,1296.0
1,158,1688.1
2,55,1463.0
3,26,1236.6
4,269,1368.5
5,81,1280.8
6,166,1091.4
7,87,1393.5
8,164,1282.2
9,239,1144.8
10,33,1819.0
11,172,1164.4
12,303,1221.6
13,116,1010.8
14,143,1216.8
15,15,1136.9
16,273,2402.3
17,210,1580.0
18,264,1288.4
19,168,1258.8
20,173,1522.7
21,137,1308.0
22,242,1305.4
23,129,1173.8
24,0,1167.2
25,99,2411.5
26,134,1282.2
27,40,2157.3
28,95,1277.7
29,128,1172.0
30,14,1564.0
31,227,1874.6
32,288,1768.0
33,149,1304.3
34,44,1474.4
35,152,1163.0
36,258,1224.7
37,53,1372.9
38,122,1028.7
39,231,1547.3
40,229,1311.4
41,280,1730.2
42,262,1309.1
43,178,1460.7
44,301,1359.7
45,24,1383.7
46,265,1680.6
47,251,1369.5
48,220,1373.9
49,147,1736.3
50,1,1502.0
51,88,1294.9
52,236,1019.7
53,297,1404.2
54,156,1550.3
55,211,1243.0
56,17,1188.6
57,259,1463.3
58,250,1322.9
59,245,1298.8
60,89,1021.0
61,272,1555.8
62,123,1729.4
63,36,1245.4
64,8,1683.0
65,62,1130.0
66,194,1233.3
67,294,1390.4
68,94,1376.3
69,279,1805.2
70,5,1164.4
71,119,1736.3
72,161,1167.2
73,295,1276.7
74,165,1250.8
75,148,1237.0
76,86,1453.8
77,34,1730.2
78,121,1795.5
79,241,1218.8
80,109,1437.3
81,67,1438.6
82,188,1681.2
83,101,1219.7
84,19,1723.2
85,51,1462.7
86,65,1362.9
87,216,1371.1
88,204,2005.5
89,28,1230.6
90,2,1382.2
91,160,1309.1
92,22,1267.8
93,267,1352.2
94,179,1205.8
95,41,1169.4
96,113,1405.6
97,52,1332.7
98,214,1529.6
99,80,1125.0
100,217,1178.9
101,193,1784.5
102,305,1139.7
103,68,2006.0
104,142,1340.1
105,104,1032.1
106,157,1779.7
107,287,1615.8
108,139,1350.4
109,6,1605.4
110,48,1451.7
111,146,1722.5
112,199,1369.5
113,208,1153.4
114,196,1150.6
115,133,1312.0
116,282,1143.7
117,286,1297.5
118,124,1600.0
119,261,1287.3
120,23,1207.8
121,201,1586.7
122,270,1300.3
123,212,2249.6
124,302,1311.1
125,238,1188.5
126,283,1130.4
127,12,1455.4
128,176,1026.6
129,125,1272.6
130,103,1314.2
131,77,1653.6
132,106,2381.6
133,248,1155.0
134,289,1571.2
135,59,1145.8
136,189,1818.0
137,66,1157.5
138,38,1426.2
139,72,1317.0
140,78,1580.1
141,252,1730.2
142,182,1150.6
143,218,1169.2
144,130,1109.3
145,235,1419.4
146,18,1592.9
147,268,1263.6
148,275,1392.4
149,132,1478.4
150,293,1123.1
151,151,1109.3
152,177,1503.4
153,150,1846.5
154,240,1267.1
155,233,1088.6
156,90,1185.1
157,257,1287.4
158,278,1743.5
159,100,1047.3
160,300,1164.4
161,206,2331.1
162,49,1550.3
163,228,1240.2
164,114,1269.0
165,292,2372.4
166,98,1243.4
167,58,1276.5
168,31,2487.3
169,84,1278.2
170,126,1391.8
171,256,1016.4
172,249,1460.7
173,306,2510.3
